"Accession"	"Gene"	"Description"	"Class"	"Reference"
"VFG001997(gb|YP_095253)"	"flgH"	"flagellar_L-ring_protein_precursor_FlgH_"	"Flagella_(VF0157)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG001844(gb|YP_094500)"	"icmB/dotO"	"Dot/Icm_type_IV_secretion_system_protein_IcmB/DotO_"	"Dot/Icm_(VF0156)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG014518(gi:26991046)"	"fliN"	"flagellar_motor_switch_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG041531(gi:283786651)"	"escS"	"T3SS_structural_protein_EscS_"	"T3SS_(SS022)_"	"Citrobacter_rodentium_ICC168"
"VFG001244(gb|NP_249777)"	"flgK"	"flagellar_hook-associated_protein_1_FlgK_"	"Flagella_(VF0273)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG015751(gi:170720068)"	"algL"	"Poly(beta-D-mannuronate"	"ND"	"ND"
"VFG017854(gi:153930635)"	"pilV"	"type_IV_pilus_biogenesis_protein_PilV_"	"Type_IV_pili_(CVF049)_"	"Yersinia_pseudotuberculosis_IP_31758"
"VFG017866(gi:153930731)"	"YpsIP31758_B0104"	"type_IV_secretion_system_protein_IcmP/DotM_"	"icm/dot_type_IVB_locus_(CVF621)_"	"Yersinia_pseudotuberculosis_IP_31758"
"VFG019741(gi:229587969)"	"pilO"	"putative_fimbriae_biogenesis-related_fusion_protein_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_fluorescens_SBW25"
"VFG044268(gi:151221257)"	"isdF"	"iron/heme_permease_"	"NEAT-type_surface_protein,_direct_heme_uptake_system_(IA047)_"	"Staphylococcus_aureus_subsp._aureus_str._Newman"
"VFG002535(gb|YP_109915)"	"fliC"	"flagellin_"	"Flagella_(VF0430)_"	"Burkholderia_pseudomallei_K96243"
"VFG022767(gi:333990172)"	"fadD33"	"polyketide_synthase_Pks16_"	"Mycobactin_(CVF315)_"	"Mycobacterium_sp._JDM601"
"VFG049760"	"SAUSA300_0293"	"hypothetical_protein_"	"Type_VII_secretion_system_(SS202)_"	"Staphylococcus_aureus_subsp._aureus_Mu50"
"VFG008220(gi:119866136)"	"esxB"	"10_kDa_culture_filtrate_antigen_LHP_(CFP10"	"ND"	"ND"
"VFG038589(gb|YP_854921)"	"mshE"	"ATPase_protein_MshE,_GspE-like_"	"ND"	"ND"
"VFG036992(gb|NP_274718)"	"mtrD"	"multiple_transferable_resistance_system_protein_MtrD_"	"MtrCDE_(VF0451)_"	"Neisseria_meningitidis_MC58"
"VFG001390(gi:15608121)"	"mprA"	"MYCOBACTERIAL_PERSISTENCE_REGULATOR_MRPA_(TWO_COMPONENT_RESPONSE_TRANSCRIPTIONAL_REGULATORY_PROTEIN"	"ND"	"ND"
"VFG014645(gi:28869130)"	"flgA"	"flagellar_basal_body_P-ring_biosynthesis_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_syringae_pv._tomato_str._DC3000"
"VFG045987"	"O3M_20930"	"hypothetical_protein_"	"Hemorrhagic_E.coli_pilus_(HCP)(CVF825)_"	"Escherichia_coli_O104:H4_str._2009EL-2050"
"VFG005841(gi:24378755)"	"rgpG"	"putative_glycosyl_transferase_N-acetylglucosaminyltransferase),_RgpG_"	"Capsule_(CVF186)_"	"Streptococcus_mutans_UA159"
"VFG012232(gi:91213839)"	"papJ"	"PapJ_protein_precursor_"	"pyelonephritis-associated_pilus,_Pap_pilus_(AI001)_"	"Escherichia_coli_UTI89"
"VFG041940(gi:21230693)"	"hrcN"	"type_III_secretion_system_ATPase_"	"T3SS_(SS009)_"	"Xanthomonas_campestris_pv._campestris_str._ATCC_33913"
"VFG011785(gi:118475608)"	"CFF8240_1407"	"glycosyl_transferase,_family_9_"	"LOS_(CVF396)_"	"Campylobacter_fetus_subsp._fetus_82-40"
"VFG014266(gi:152989404)"	"flgK"	"flagellar_hook-associated_protein_FlgK_"	"Flagella_(CVF521)_"	"Pseudomonas_aeruginosa_PA7"
"VFG029828(gi:169628036)"	"pks"	"Probable_polyketide_synthase_"	"GPL_locus_(CVF650)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG009897(gi:126433709)"	"devR/dosR"	"two_component_transcriptional_regulator,_LuxR_family_"	"DevR/S_(CVF334)_"	"Mycobacterium_sp._JLS"
"VFG000033(gb|NP_878990)"	"bplF"	"lipopolysaccharide_biosynthesis_protein_"	"LPS_(VF0033)_"	"Bordetella_pertussis_Tohama_I"
"VFG014816(gi:70728401)"	"algG"	"alginate_biosynthesis_protein_AlgG_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG027300(gi:523915354)"	"devS"	"two_component_system_sensor_histidine_kinase_devS_"	"DevR/S_(CVF334)_"	"Mycobacterium_yongonense_05-1390"
"VFG029836(gi:523913061)"	"pks"	"beta-ketoacyl_synthase_"	"GPL_locus_(CVF650)_"	"Mycobacterium_yongonense_05-1390"
"VFG009934(gi:57116701)"	"mce1A"	"MCE-FAMILY_PROTEIN_MCE1A_"	"Mce1_(CVF336)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG014001(gi:146306001)"	"pilS"	"integral_membrane_sensor_signal_transduction_histidine_kinase_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_mendocina_ymp"
"VFG041211(gi:283787009)"	"cts2A"	"T6SS_protein_Cts2A_"	"CTS2_(SS187)_"	"Citrobacter_rodentium_ICC168"
"VFG017162(gi:151220607)"	"set37"	"exotoxin_NM8_"	"Exotoxin_(CVF075)_"	"Staphylococcus_aureus_subsp._aureus_str._Newman"
"VFG035768(gi:260842458)"	"aec18"	"hypothetical_protein_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_O103:H2_str._12009"
"VFG029851(gi:120401296)"	"papA3"	"condensation_domain-containing_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG049275"	"KPK_2054"	"type_VI_secretion_protein_"	"T6SS-III_(CVF862)_"	"Klebsiella_pneumoniae_342"
"VFG004684(gi:87160903)"	"splC"	"serine_protease_SplC_"	"Serine_protease_(CVF095)_"	"Staphylococcus_aureus_subsp._aureus_USA300_FPR3757"
"VFG037247(gi:126642411)"	"basH"	"acinetobactin_biosynthesis_protein_"	"Acinetobactin_(CVF768)_"	"Acinetobacter_baumannii_ATCC_17978"
"VFG015767(gi:170720255)"	"mucB"	"sigma_E_regulatory_protein,_MucB/RseB_"	"Alginate_regulation_(CVF523)_"	"Pseudomonas_putida_W619"
"VFG035735(gi:15799910)"	"aec19"	"hypothetical_protein_"	"EHS_(SS185)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG006067(gi:116628175)"	"STER_1436"	"Glycosyltransferase_involved_in_cell_wall_biogenesis_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_LMD-9"
"VFG005074(gi:87160401)"	"cap5K"	"capsular_polysaccharide_biosynthesis_protein_Cap5K_"	"Capsule_(CVF110)_"	"Staphylococcus_aureus_subsp._aureus_USA300_FPR3757"
"VFG001884(gb|YP_096645)"	"enhB"	"enhanced_entry_protein_EnhB_"	"enh_loci_(VF0163)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG038016(gi:215485088)"	"ABBFA_003457"	"Vi_polysaccharide_biosynthesis_protein_vipB/tviC_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_AB307-0294"
"VFG031219(gi:507422953)"	"MASS_4011"	"hypothetical_protein_"	"Heme_uptake_(CVF668)_"	"Mycobacterium_abscessus_subsp._bolletii_50594"
"VFG038547(gi:330830432)"	"flpC"	"protein_transporter,_outer_membrane_secretin_(secretin"	"ND"	"ND"
"VFG021786(gi:300857872)"	"hmuT"	"iron_ABC_transporter_substrate-binding_protein_"	"ABC-type_heme_transporter_(CVF514)_"	"Corynebacterium_pseudotuberculosis_FRC41"
"VFG003516(gi:123443724)"	"ysaU"	"putative_type_III_secretion_apparatus_protein_"	"Ysa_T3SS_(SS018)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG048911"	"KOX_25190"	"UDP-Gal::undecaprenolphosphate_Gal-1-P_transferase_"	"Capsule_(CVF854)_"	"Klebsiella_oxytoca_KCTC_1686"
"VFG002113(gb|YP_094288)"	"sidE/laiD"	"Dot/Icm_type_IV_secretion_system_effector_SidE_"	"Dot/Icm_(VF0156)_"	"Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1"
"VFG001362(gb|NP_344620)"	"zmpC"	"immunoglobulin_A1_protease_"	"IgA1_protease_(VF0147)_"	"Streptococcus_pneumoniae_TIGR4"
"VFG038570(gi:330831356)"	"mshO"	"MSHA_biogenesis_protein_MshO_"	"Mannose-sensitive_hemagglutinin_(Msh)"	"ND"
"VFG000704(gb|AAP42196)"	"hscA"	"capsular_polysaccharide_export_protein_HscA_"	"Capsule_(VF0043)_"	"Haemophilus_influenzae_str._1007"
"VFG029690(gi:169631177)"	"mps1"	"Probable_non-ribosomal_peptide_synthetase_"	"GPL_locus_(CVF650)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG019132(gi:170760184)"	"groEL"	"chaperonin_GroEL_"	"GroEL_(CVF403)_"	"Clostridium_botulinum_A3_str._Loch_Maree"
"VFG010461(gi:54294802)"	"pilE"	"hypothetical_protein_"	"Type_IV_pili_(CVF346)_"	"Legionella_pneumophila_str._Lens"
"VFG048381"	"A225_4838"	"hypothetical_protein_"	"Type_3_fimbriae_(CVF848)_"	"Klebsiella_oxytoca_E718"
"VFG001986(gb|NP_282554)"	"kpsS"	"capsule_polysaccharide_modification_protein_"	"Capsule_(VF0323)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG007316(gb|NP_231824)"	"flgI"	"flagellar_P-ring_protein_precursor_"	"Flagella_(VF0519)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG042584(gi:149930752)"	"sfpH"	"w0007_"	"Sfp_fimbriae_(AI046)_"	"Escherichia_coli_O157:H-_str._3072/96"
"VFG018691(gi:163868776)"	"virB4"	"VirB4_protein_"	"VirB/VirD4_type_IV_secretion_system_&_translocated_effector_Beps_(CVF603)_"	"Bartonella_tribocorum_CIP_105476"
"VFG031400(gi:183981453)"	"ctpV"	"cation_transport_ATPase,_ZntA_"	"Copper_exporter_(CVF658)_"	"Mycobacterium_marinum_M"
"VFG014864(gi:104783510)"	"algJ"	"alginate_O-acetylation_protein_AlgJ_precursor_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_entomophila_L48"
"VFG012248(gi:117625208)"	"papH"	"minor_pilin_subunit_PapH_"	"P_fimbriae_(CVF425)_"	"Escherichia_coli_APEC_O1"
"VFG007725(gi:145220706)"	"hbhA"	"hypothetical_protein_"	"Heparin-binding_hemagglutinin_(CVF284)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG041871(gi:34498057)"	"csaV"	"secretion_system_apparatus_protein_SsaV_"	"Cpi-2_encoded_T3SS_(SPI-2_like)(SS023)_"	"Chromobacterium_violaceum_ATCC_12472"
"VFG002330(gb|YP_001006743)"	"fliH"	"flagellar_assembly_protein_H_"	"Flagella_(VF0394)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG005550(gi:15900319)"	"tig/ropA"	"trigger_factor_"	"Trigger_factor_(CVF149)_"	"Streptococcus_pneumoniae_TIGR4"
"VFG038335(gb|YP_001144285)"	"exsC"	"chaperone_protein_"	"T3SS_(VF0479)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG009651(gi:145222743)"	"narK2"	"major_facilitator_superfamily_MFS_1_"	"Nitrate/nitrite_transporter_(CVF320)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG015422(gi:148547341)"	"Pput_2120"	"protein_of_unknown_function_DUF876_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_putida_F1"
"VFG042988(gi:209491037)"	"pilA"	"PilA_"	"PilA-type_pili_(PGS1,_pilin_gene_clusters_1)(AI132)_"	"Enterococcus_faecium_str._E1165"
"VFG005920(gi:116516453)"	"cps2T"	"glycosyl_transferase,_group_1_family_protein,_putative_"	"Capsule_(CVF186)_"	"Streptococcus_pneumoniae_D39"
"VFG001887(gi:52841687)"	"relA"	"GTP_pyrophosphokinase_((p)ppGpp_synthetase_I"	"ND"	"ND"
"VFG041873(gi:34498055)"	"csrA"	"two-component_sensor/regulator_"	"Cpi-2_encoded_T3SS_(SPI-2_like)(SS023)_"	"Chromobacterium_violaceum_ATCC_12472"
"VFG022730(gi:169629210)"	"mbtB"	"putative_phenyloxazoline_synthase_MbtB_"	"Mycobactin_(CVF315)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG004255(gi:16763720)"	"stbA"	"putative_fimbrial_major_subunit_"	"Stb_(AI059)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG011292(gi:115422772)"	"flgF"	"flagellar_basal-body_rod_protein_"	"Flagella_(CVF382)_"	"Bordetella_avium_197N"
"VFG010301(gi:120401975)"	"mce5B"	"virulence_factor_Mce_family_protein_"	"Mce5_(CVF340)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG014128(gi:152985579)"	"PSPA7_1979"	"imidazole_glycerol_phosphate_synthase_subunit_HisF_"	"LPS_O-antigen_(P._aeruginosa)(CVF520)_"	"Pseudomonas_aeruginosa_PA7"
"VFG038515(gi:330830424)"	"flpK"	"protein_FlpK_"	"Flp_type_IV_pili_(CVF784)_"	"Aeromonas_veronii_B565"
"VFG002057(gb|NP_248761)"	"tagR"	"type_IV_secretion_associated_protein_TagR,_positively_regulates_PpkA_"	"HSI-I_(VF0334)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG004575(gi:15927062)"	"ebp"	"elastin_binding_protein_"	"Elastin_binding_protein_(CVF103)_"	"Staphylococcus_aureus_subsp._aureus_N315"
"VFG042549(gi:170679645)"	"fanE"	"putative_fimbrial_assembly_chaperone_FanE_"	"K99_pili/F5_fimbriae_(AI039)_"	"Escherichia_coli_SMS-3-5"
"VFG002415(gb|NP_286008)"	"yagX/ecpC"	"E._coli_common_pilus_usher_EcpC_"	"ECP_(VF0404)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG035586(gi:110640438)"	"aec26"	"hypothetical_protein_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_536"
"VFG005190(gi:55820986)"	"fbp54"	"fibronectin-binding_protein-like_protein_A_"	"Fibronectin-binding_proteins_(CVF113)_"	"Streptococcus_thermophilus_LMG_18311"
"VFG048432"	"KOX_13950"	"isochorismate_synthase_EntC_"	"Ent_siderophore_(CVF849)_"	"Klebsiella_oxytoca_KCTC_1686"
"VFG043081(gi:15801197)"	"flgI"	"flagellar_basal_body_P-ring_protein_"	"peritrichous_flagella_(AI140)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG035296(gi:26249236)"	"c3401"	"hypothetical_protein_"	"SCI-I_T6SS_(CVF734)_"	"Escherichia_coli_CFT073"
"VFG020042(gi:229590602)"	"aprA"	"metalloprotease_"	"Alkaline_protease_(CVF538)_"	"Pseudomonas_fluorescens_SBW25"
"VFG038801(gi:145298490)"	"flgD"	"flagellar_hook_capping_protein_FlgD_"	"Polar_flagella_(CVF786)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG019092(gi:182683369)"	"tig/ropA"	"trigger_factor_"	"Trigger_factor_(CVF149)_"	"Streptococcus_pneumoniae_CGSP14"
"VFG010104(gi:120401389)"	"mce3B"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG049122(gb|YP_002918211.1)"	"allC"	"allantoate_amidohydrolase_"	"Allantion_utilization_(VF0572)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_NTUH-K2044"
"VFG014056(gi:152986964)"	"pilK"	"methyltransferase_PilK_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_aeruginosa_PA7"
"VFG034497(gi:387605794)"	"ecpD"	"putative_fimbrial_protein_"	"E._coli_common_pilus_(ECP)(CVF625)_"	"Escherichia_coli_O44:H18_042"
"VFG017722(gi:120401120)"	"mycP1"	"peptidase_S8_and_S53,_subtilisin,_kexin,_sedolisin_"	"ESX-1_(T7SS)(CVF298)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG041065(gi:15890640)"	"impA"	"hypothetical_protein_"	"Imp_(SS195)_"	"Agrobacterium_tumefaciens_str._C58"
"VFG005325(gi:116627005)"	"cbpD"	"Surface_antigen_"	"Choline-binding_proteins_(CVF122)_"	"Streptococcus_thermophilus_LMD-9"
"VFG042899(gi:283788191)"	"cfcE"	"Type_IV_pilus_biogenesis_protein_"	"colonization_factor_Citrobacter_(CFC"	"ND"
"VFG038305(gb|YP_008041723)"	"exeL"	"general_secretion_pathway_protein_L_"	"Exe_T2SS_(VF0478)_"	"Aeromonas_hydrophila_ML09-119"
"VFG001751(gi:16120597)"	"YPO0260"	"putative_AraC-family_regulatory_protein_"	"chromosome-encoded_TTSS_(SS024)_"	"Yersinia_pestis_CO92"
"VFG000150(gb|NP_250881)"	"exoY"	"type_III_secretion_system_effector_ExoY,_adenylate_cyclase_"	"ExoY_(VF0099)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG021849(gi:145224991)"	"mbtK"	"hypothetical_protein_"	"Mycobactin_(CVF315)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG048270"	"A225_3801"	"type_1_fimbriae_anchoring_protein_FimD_"	"Type_I_fimbriae_(CVF847)_"	"Klebsiella_oxytoca_E718"
"VFG013874(gi:66043673)"	"pilP"	"Pilus_assembly_protein,_PilQ_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_syringae_pv._syringae_B728a"
"VFG005515(gi:15675945)"	"htrA/degP"	"putative_serine_protease_"	"Serine_protease_(CVF148)_"	"Streptococcus_pyogenes_M1_GAS"
"VFG005180(gi:139473853)"	"fbp54"	"fibronectin/fibrinogen-binding_protein_"	"Fibronectin-binding_proteins_(CVF113)_"	"Streptococcus_pyogenes_str._Manfredo"
"VFG019818(gi:229591860)"	"fliD"	"putative_flagellar_hook_associated_protein_(FliD"	"ND"	"ND"
"VFG048887"	"Kvar_1556"	"group_1_glycosyl_transferase_"	"Capsule_(CVF854)_"	"Klebsiella_variicola_At-22"
"VFG034130(gi:387607665)"	"ybtU"	"irp3_protein_"	"Yersiniabactin_siderophore_(CVF458)_"	"Escherichia_coli_O44:H18_042"
"VFG005987(gi:55821116)"	"eps3"	"exopolysaccharide_biosynthesis_protein,_glycosyltransferase_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_LMG_18311"
"VFG010097(gi:118464539)"	"mce3B"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_avium_104"
"VFG037735(gb|YP_001847165)"	"adeH"	"outer_membrane_protein_"	"AdeFGH_efflux_pump_(VF0504)_"	"Acinetobacter_baumannii_ACICU"
"VFG013489(gi:148825760)"	"lsgE"	"putative_UDP-galactose--lipooligosaccharide_galactosyltransferase_"	"LOS_(CVF494)_"	"Haemophilus_influenzae_PittEE"
"VFG002523(gb|YP_109891)"	"flhB"	"flagellar_biosynthesis_protein_FlhB_"	"Flagella_(VF0430)_"	"Burkholderia_pseudomallei_K96243"
"VFG030845(gi:315444176)"	"icl2"	"isocitrate_lyase_"	"Trehalose-recycling_ABC_transporter_(CVF651)_"	"Mycobacterium_gilvum_Spyr1"
"VFG002559(gb|YP_109395)"	"wcbH"	"glycosyl_transferase_"	"Capsule_I_(VF0436)_"	"Burkholderia_pseudomallei_K96243"
"VFG007166(gb|NP_798067)"	"vscL"	"type_III_secretion_system_cytoplasmic_protein_VscL_"	"T3SS1_(VF0408)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG042699(gi:15599277)"	"cupB5"	"adhesive_protein_CupB5_"	"CupB_fimbriae_(AI086)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG030892(gi:118619291)"	"cyp125"	"cytochrome_P450_125A7_Cyp125A7_"	"Cyp125_(CVF652)_"	"Mycobacterium_ulcerans_Agy99"
"VFG024054(gi:387876015)"	"fadE14"	"acyl-CoA_dehydrogenase_domain-containing_protein_"	"Mycobactin_(CVF315)_"	"Mycobacterium_intracellulare_str._MOTT36Y"
"VFG002411(gb|NP_645082)"	"esxB"	"type_VII_secretion_system_secreted_protein_EsxB_"	"Type_VII_secretion_system_(VF0403)_"	"Staphylococcus_aureus_subsp._aureus_MW2"
"VFG020073(gi:229590013)"	"pvdI"	"pyoverdine_synthetase_I_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_fluorescens_SBW25"
"VFG022009(gi:41410419)"	"eccC2"	"hypothetical_protein_"	"ESX-2_(T7SS)(CVF634)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG031249(gi:145221060)"	"mmpL3"	"RND_superfamily_drug_efflux_protein_"	"Heme_uptake_(CVF668)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG014669(gi:152986720)"	"flgN"	"hypothetical_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_aeruginosa_PA7"
"VFG026221(gi:206561584)"	"wzt2"	"putative_capsular_polysaccharide_transporter_ATP-binding_protein_"	"Capsule_I_(CVF645)_"	"Burkholderia_cenocepacia_J2315"
"VFG015674(gi:167034930)"	"fliT"	"motility-related_protein_FliT_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_GB-1"
"VFG048854"	"Kvar_1553"	"capsular_exopolysaccharide_family_"	"Capsule_(CVF854)_"	"Klebsiella_variicola_At-22"
"VFG014536(gi:146307835)"	"fliO"	"flagellar_biosynthesis_protein,_FliO_"	"Flagella_(CVF521)_"	"Pseudomonas_mendocina_ymp"
"VFG025785(gi:107024382)"	"flhA"	"flagellar_biosynthesis_protein_FlhA_"	"Flagella_(CVF643)_"	"Burkholderia_cenocepacia_AU_1054"
"VFG043600(gi:71903987)"	"aspA"	"putative_cell_surface_protein_"	"AgI/II_proteins_(AI426)_"	"Streptococcus_pyogenes_MGAS6180(AI439)_"
"VFG049098"	"A225_3875"	"dTDP-glucose_4,6-dehydratase_"	"LPS_rfb_locus_(CVF857)_"	"Klebsiella_oxytoca_E718"
"VFG012577(gi:110641373)"	"sitB"	"iron_transport_protein,_ATP-binding_component_"	"Iron/manganese_transport_(CVF459)_"	"Escherichia_coli_536"
"VFG035989(gi:157158257)"	"ehaA"	"outer_membrane_autotransporter_"	"EhaA,_AIDA-I_type_(CVF743)_"	"Escherichia_coli_E24377A"
"VFG000311(gi:15644807)"	"neuB"	"sialic_acid_synthase_"	"Lewis_antigen_(VF0057)_"	"Helicobacter_pylori_26695"
"VFG001915(gb|NP_281981)"	"fliP"	"flagellar_biosynthesis_protein_FliP_"	"Flagella_(VF0114)_"	"Campylobacter_jejuni_subsp._jejuni_NCTC_11168"
"VFG033210(gi:260847130)"	"fimA"	"major_type_1_subunit_fimbrin_(pilin"	"ND"	"ND"
"VFG015796(gi:167035652)"	"hcp1"	"type_VI_secretion_system_effector,_Hcp1_family_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_putida_GB-1"
"VFG011295(gi:33601543)"	"flgG"	"flagellar_basal-body_rod_protein_"	"Flagella_(CVF382)_"	"Bordetella_bronchiseptica_RB50"
"VFG002434(gb|YP_111608)"	"pilN"	"type_IV_pilus_inner_membrane_platform_protein_PilN_"	"Type_IV_pili_(VF0431)_"	"Burkholderia_pseudomallei_K96243"
"VFG005842(gi:55823023)"	"epsX"	"lipopolysaccharide_1,6-galactosyltransferase_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_CNRZ1066"
"VFG024623(gi:406030858)"	"MIP_03872"	"hypothetical_protein_"	"ESX-5_(T7SS)(CVF293)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
"VFG001258(gb|NP_250136)"	"fliO"	"flagellar_protein_FliO_"	"Flagella_(VF0273)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG004901(gi:82750145)"	"set26"	"staphylococcal_exotoxin_1_"	"Exotoxin_(CVF075)_"	"Staphylococcus_aureus_RF122"
"VFG009721(gi:126434760)"	"sigA/rpoV"	"RNA_polymerase,_sigma_70_subunit,_RpoD_family_"	"Sigma_A_(CVF325)_"	"Mycobacterium_sp._JLS"
"VFG004231(gi:16759180)"	"staB"	"chaperone_protein_EcpD_precursor_"	"Sta_(AI063)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18"
"VFG006022(gi:116627988)"	"STER_1222"	"dTDP-D-glucose_4,6-dehydratase_"	"Capsule_(CVF186)_"	"Streptococcus_thermophilus_LMD-9"
"VFG014141(gi:116051143)"	"orfJ"	"putative_glycosyl_transferase_"	"LPS_O-antigen_(P._aeruginosa)(CVF520)_"	"Pseudomonas_aeruginosa_UCBPP-PA14"
"VFG007096(gi:15642726)"	"epsE"	"general_secretion_pathway_protein_E_"	"EPS_type_II_secretion_system_(CVF268)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG002144(gb|NP_220188)"	"cdsN"	"Type_III_secretion_system_ATPase_"	"TTSS_(VF0344)_"	"Chlamydia_trachomatis_D/UW-3/CX"
"VFG043414(gi:42780833)"	"fliD"	"flagellar_capping_protein_"	"peritrichous_flagella_(AI153)_"	"Bacillus_cereus_ATCC_10987"
"VFG049079"	"KPK_1680"	"mannosyltransferase_A_"	"LPS_rfb_locus_(CVF857)_"	"Klebsiella_pneumoniae_342"
"VFG010083(gi:120401937)"	"mce3A"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG037118(gb|NP_273782)"	"recN"	"DNA_repair_protein_RecN_"	"RecN_(VF0457)_"	"Neisseria_meningitidis_MC58"
"VFG004240(gi:16763717)"	"stbD"	"putative_fimbrial_usher_"	"Stb_(AI059)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG002173(gb|NP_816972)"	"asa1"	"aggregation_substance_Asa1_"	"AS_(VF0352)_"	"Enterococcus_faecalis_V583"
"VFG011933(gi:118474799)"	"fliP"	"flagellar_biosynthetic_protein_FliP_"	"Flagella_(CVF397)_"	"Campylobacter_fetus_subsp._fetus_82-40"
"VFG000221(gb|NP_273084)"	"pilE"	"Type_IV_pilus_major_pilin_subunit_PilE_"	"Type_IV_pili_(VF0075)_"	"Neisseria_meningitidis_MC58"
"VFG031479(gi:333990102)"	"ndk"	"nucleoside_diphosphate_kinase_NdkA_"	"Nucleoside_diphosphate_kinase_(CVF660)_"	"Mycobacterium_sp._JDM601"
"VFG007664(gi:59710775)"	"rmlC"	"dTDP-4-dehydrorhamnose_3,5-epimerase_"	"Capsular_polysaccharide_(CVF282)_"	"Vibrio_fischeri_ES114"
"VFG002242(gb|YP_034063)"	"virD4"	"VirD4,_type_IV_coupling_protein_"	"VirB/VirD4_type_IV_secretion_system_(VF0369)_"	"Bartonella_henselae_str._Houston-1"
"VFG015833(gi:70729851)"	"aprA"	"protease_PrtA_"	"Alkaline_protease_(CVF538)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG024002(gi:406030129)"	"mbtE"	"dimodular_nonribosomal_peptide_synthetase_"	"Mycobactin_(CVF315)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
